id_evento,evento annullato?,programma ufficiale,titolo_evento,id_luogo,nome_luogo,comune,provicia,indirizzo,latitudine,longitudine,luogo_unique_name
2974,NO,SI,Matera Cammina... Nei Sassi,514,Piazza San Giovanni,Matera,Matera,Piazza San Giovanni,40.6676,16.60803,Piazza San Giovanni (Matera)
1749,NO,SI,Matera Città Aperta,523,Piazza Vittorio Veneto,Matera,Matera,Piazza Vittorio Veneto,40.666916,16.606227,Piazza Vittorio Veneto (Matera)
2922,NO,SI,Matera e il Purgatorio: l'altro volto della città,317,Mata - Museo Diocesano,Matera,Matera,Via Del Riscatto 12,40.6673,16.61132,Mata - Museo Diocesano (Matera)
3415,NO,SI,Matera Heroes Pride,526,Piazzale Partenze Bus,Matera,Matera,Via Don Luigi Sturzo,40.67716,16.59017,Piazzale Partenze Bus (Matera)
4680,NO,NO,Matera History&Fun Game,572,Sede A.P.S. Giallo Sassi,Matera,Matera,Via Vincenzo Cappelluti 16,40.66551,16.60226,Sede A.P.S. Giallo Sassi (Matera)
4710,NO,NO,Matera History&Fun Game,572,Sede A.P.S. Giallo Sassi,Matera,Matera,Via Vincenzo Cappelluti 16,40.66551,16.60226,Sede A.P.S. Giallo Sassi (Matera)
4478,NO,NO,Matera in blues,69,Auditorium R. Gervasio,Matera,Matera,Piazza Del Sedile,40.665332,16.609669,Auditorium R. Gervasio (Matera)
4374,NO,SI,Matera poema urbano,512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
4249,NO,SI,Matera poema urbano,512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
4822,NO,NO,Matera Streetart 2019,325,Momart Gallery,Matera,Matera,Piazza Madonna Dell'Idris 5 e 7,40.6640567,16.6092854,Momart Gallery (Matera)
4778,NO,SI,Matera tra Modernità e tradizione. Il contributo di Ettore Stella,579,Spazio Dell'Angelo,Matera,Matera,Via Sant'angelo 68,40.665851,16.612349,Spazio Dell'Angelo (Matera)
4376,NO,NO,Matera vista con gli occhi di Beppe Borghi,438,Open Space Apt Basilicata / Palazzo dell'Annunziata,Matera,Matera,Piazza Vittorio Veneto,40.666954,16.605964,Open Space Apt Basilicata / Palazzo dell'Annunziata (Matera)
3905,NO,NO,Matera Yoga Fest 2019,275,Hotel Le Monacelle,Matera,Matera,Via Riscatto 15,40.667523,16.611559,Hotel Le Monacelle (Matera)
4500,NO,SI,Matera. Pietra e Pane,233,Fondazione Sassi,Matera,Matera,Via San Giovanni Vecchio 24,40.668090,16.609282,Fondazione Sassi (Matera)
3978,NO,SI,"Materadio Village, giorno 1",512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
3979,NO,SI,"Materadio Village, giorno 2",512,Piazza San Francesco,Matera,Matera,Piazza San Francesco,40.665178,16.609166,Piazza San Francesco (Matera)
3320,NO,NO,MateraElettrica Ensemble,456,Palazzo Lanfranchi,Matera,Matera,Piazza Giovanni Pascoli 1,40.663230,16.610342,Palazzo Lanfranchi (Matera)
4718,NO,SI,MateRai,436,Open Dome,Matera,Matera,Piazza San Francesco 12,40.66523,16.60865,Open Dome (Matera)
4010,NO,NO,MateraMaletikPictures,302,La Lopa,Matera,Matera,Via Bruno Buozzi 13,40.6621693,16.6109842,La Lopa (Matera)
4362,NO,SI,MaterArmoniae,164,Chiesa di San Francesco D'Assisi,Matera,Matera,Piazza San Francesco,40.665513,16.609305,Chiesa di San Francesco D'Assisi (Matera)
4427,NO,SI,Materia,118,Casa Malvasi/Lionetti,Montalbano Jonico,Matera,Via Silvati 8,40.28939,16.5669,Casa Malvasi/Lionetti (Montalbano Jonico)
4306,NO,SI,Materia,118,Casa Malvasi/Lionetti,Montalbano Jonico,Matera,Via Silvati 8,40.28939,16.5669,Casa Malvasi/Lionetti (Montalbano Jonico)
4426,NO,SI,Materia,118,Casa Malvasi/Lionetti,Montalbano Jonico,Matera,Via Silvati 8,40.28939,16.5669,Casa Malvasi/Lionetti (Montalbano Jonico)
2543,NO,NO,Materia Prima_A tutta birra,320,Materia Prima Bistrot,Matera,Matera,Via San Biagio 37,40.6676676,16.6080583,Materia Prima Bistrot (Matera)
3203,NO,SI,Materra,90,Campus Universitario - Unibas,Matera,Matera,Via Lanera 20,40.662055,16.602667,Campus Universitario - Unibas (Matera)
3511,NO,SI,Materra,123,Casa Per Ferie Sant'Anna,Matera,Matera,Via Lanera 14,40.6628541,16.605231,Casa Per Ferie Sant'Anna (Matera)
3295,NO,SI,Materra,156,Chiesa del Cristo Flagellato (Ex Ospedale San Rocco),Matera,Matera,Via San Biagio 31,40.667515,16.607794,Chiesa del Cristo Flagellato (Ex Ospedale San Rocco) (Matera)
4594,NO,SI,MaTerre VR Experience,193,Chiesa Rupestre di Santa Maria De Armenis,Matera,Matera,Sasso Caveoso,40.6626052,16.6111184,Chiesa Rupestre di Santa Maria De Armenis (Matera)
